名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（岩切小学校）,仙台市宮城野区岩切字今市東1-2,"6,970(㎡)","3,400(人)","1,690(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.942149,38.29928291,指定避難所
指定避難所（岩切中学校）,仙台市宮城野区岩切字三所南23-2,"8,640(㎡)","4,300(人)",834(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9446043,38.3014078,指定避難所
指定避難所（高砂小学校）,仙台市宮城野区福田町1-11-1,"6,000(㎡)","3,000(人)","1,261(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.958038,38.27334728,指定避難所
指定避難所（福室小学校）,仙台市宮城野区福室5-16-1,"9,209(㎡)","4,600(人)","1,126(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9718621,38.2801977,指定避難所
指定避難所（中野栄小学校）,仙台市宮城野区栄3-12-1,"9,111(㎡)","4,500(人)",854(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9823748,38.28333126,指定避難所
指定避難所（岡田小学校）,仙台市宮城野区岡田字北在家67,"7,555(㎡)","3,700(人)",739(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9787592,38.25646702,指定避難所
指定避難所（枡江小学校）,仙台市宮城野区枡江15-1,"5,416(㎡)","2,700(人)",752(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9043561,38.28110904,指定避難所
指定避難所（鶴巻小学校）,仙台市宮城野区鶴巻1-15-1,"10,137(㎡)","5,000(人)",978(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9682406,38.26304059,指定避難所
指定避難所（田子小学校）,仙台市宮城野区田子2-1-1,"12,482(㎡)","6,200(人)",781(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9620153,38.28055526,指定避難所
指定避難所（幸町南小学校）,仙台市宮城野区幸町5-2-1,"10,302(㎡)","5,100(人)",887(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8994543,38.27409865,指定避難所
